agent,metric,mean,std,formatted,n_seeds
diagnostic,r_theta_accuracy,0.8079,0.0,0.8079±0.0000,1
diagnostic,mean_sem,0.9404,0.0,0.9404±0.0000,1
diagnostic,n_items,8362.0,0.0,8362.0000±0.0000,1
diagnostic,n_users_estimated,20767.0,0.0,20767.0000±0.0000,1
diagnostic,time_s,106.3,0.0,106.3000±0.0000,1
confidence,cv_f1_macro_mean,1.0,0.0,1.0000±0.0000,1
confidence,cv_f1_macro_std,0.0,0.0,0.0000±0.0000,1
confidence,full_f1_macro,1.0,0.0,1.0000±0.0000,1
confidence,n_samples,1704701.0,0.0,1704701.0000±0.0000,1
confidence,n_classes,6.0,0.0,6.0000±0.0000,1
confidence,time_s,0.4,0.0,0.4000±0.0000,1
knowledge_graph,n_nodes,14491.0,0.0,14491.0000±0.0000,1
knowledge_graph,n_edges,45896.0,0.0,45896.0000±0.0000,1
knowledge_graph,time_s,219.3,0.0,219.3000±0.0000,1
prediction,best_epoch,9.0,0.0,9.0000±0.0000,1
prediction,train_loss,0.1544,0.0,0.1544±0.0000,1
prediction,val_loss,0.1399,0.0,0.1399±0.0000,1
prediction,val_auc,0.771,0.0,0.7710±0.0000,1
prediction,optimal_threshold,0.5,0.0,0.5000±0.0000,1
prediction,val_f1_at_threshold,0.2342,0.0,0.2342±0.0000,1
prediction,n_train_sequences,46725.0,0.0,46725.0000±0.0000,1
prediction,n_val_sequences,3777.0,0.0,3777.0000±0.0000,1
prediction,total_epochs,14.0,0.0,14.0000±0.0000,1
prediction,time_s,448.1,0.0,448.1000±0.0000,1
personalization,n_levels,5.0,0.0,5.0000±0.0000,1
personalization,theta_mean,0.2926,0.0,0.2926±0.0000,1
personalization,theta_std,0.8376,0.0,0.8376±0.0000,1
personalization,time_s,22.7,0.0,22.7000±0.0000,1
