metric,ablation,full_mean,full_std,ablated_mean,ablated_std,delta,delta_std,bca_95_lo,bca_95_hi,wilcoxon_p,ttest_p,wilcoxon_sig,ttest_sig,ci_sig,n_seeds
ndcg@10,- Prediction,0.6828,0.0234,0.5847,0.0659,0.0981,0.0687,0.0502,0.1598,0.0625,0.0332,ns,*,CI*,5
ndcg@10,- Knowledge Graph,0.6828,0.0234,0.6886,0.0189,-0.0059,0.0061,-0.01,-0.0002,0.1875,0.0999,ns,ns,CI*,5
ndcg@10,- Confidence,0.6828,0.0234,0.6829,0.0232,-0.0001,0.0004,-0.0004,0.0003,0.8125,0.704,ns,ns,ns,5
ndcg@10,- IRT (Diagnostic),0.6828,0.0234,0.7408,0.0152,-0.058,0.0122,-0.067,-0.0476,0.0625,0.0004,ns,***,CI*,5
mrr,- Prediction,0.8929,0.0291,0.7428,0.15,0.1501,0.1502,0.0749,0.292,0.0625,0.0892,ns,ns,CI*,5
mrr,- Knowledge Graph,0.8929,0.0291,0.8989,0.0238,-0.006,0.0077,-0.0105,0.0023,0.1875,0.1568,ns,ns,ns,5
mrr,- Confidence,0.8929,0.0291,0.8929,0.0291,0.0,0.0,0.0,0.0,1.0,,ns,n/a,ns,5
mrr,- IRT (Diagnostic),0.8929,0.0291,0.9213,0.0093,-0.0284,0.0201,-0.0456,-0.0141,0.0625,0.0342,ns,*,CI*,5
precision@10,- Prediction,0.6399,0.0198,0.5849,0.0406,0.055,0.0443,0.0196,0.0877,0.125,0.0502,ns,ns,CI*,5
precision@10,- Knowledge Graph,0.6399,0.0198,0.6458,0.0167,-0.0059,0.0052,-0.0107,-0.0021,0.0625,0.0639,ns,ns,CI*,5
precision@10,- Confidence,0.6399,0.0198,0.64,0.0195,-0.0001,0.0007,-0.0006,0.0005,0.75,0.7267,ns,ns,ns,5
precision@10,- IRT (Diagnostic),0.6399,0.0198,0.7077,0.0164,-0.0678,0.0133,-0.0822,-0.0602,0.0625,0.0003,ns,***,CI*,5
recall@10,- Prediction,0.0604,0.0013,0.0783,0.0023,-0.0179,0.003,-0.0199,-0.015,0.0625,0.0002,ns,***,CI*,5
recall@10,- Knowledge Graph,0.0604,0.0013,0.0616,0.0013,-0.0012,0.0008,-0.0019,-0.0007,0.0625,0.0305,ns,*,CI*,5
recall@10,- Confidence,0.0604,0.0013,0.0604,0.0012,0.0,0.0001,-0.0001,0.0001,1.0,1.0,ns,ns,ns,5
recall@10,- IRT (Diagnostic),0.0604,0.0013,0.0607,0.0012,-0.0003,0.0009,-0.0011,0.0003,0.8125,0.4414,ns,ns,ns,5
lstm_auc,- Prediction,0.9235,0.0052,0.498,0.0092,0.4254,0.0132,0.4143,0.435,0.0625,0.0,ns,***,CI*,5
lstm_auc,- Knowledge Graph,0.9235,0.0052,0.9265,0.0051,-0.0031,0.0012,-0.0044,-0.0023,0.0625,0.0053,ns,**,CI*,5
lstm_auc,- Confidence,0.9235,0.0052,0.9235,0.0052,0.0,0.0,0.0,0.0,1.0,,ns,n/a,ns,5
lstm_auc,- IRT (Diagnostic),0.9235,0.0052,0.9265,0.0051,-0.0031,0.0012,-0.0044,-0.0023,0.0625,0.0053,ns,**,CI*,5
tag_coverage,- Prediction,0.7357,0.0244,0.0526,0.0101,0.6831,0.0335,0.6626,0.7151,0.0625,0.0,ns,***,CI*,5
tag_coverage,- Knowledge Graph,0.7357,0.0244,0.7285,0.0304,0.0073,0.0119,-0.0013,0.0158,0.3125,0.2453,ns,ns,ns,5
tag_coverage,- Confidence,0.7357,0.0244,0.7335,0.0249,0.0023,0.004,-0.0022,0.0045,0.5,0.2723,ns,ns,ns,5
tag_coverage,- IRT (Diagnostic),0.7357,0.0244,0.3339,0.0336,0.4018,0.0422,0.3753,0.4409,0.0625,0.0,ns,***,CI*,5
